0.3.0,0.4.2,0.5-dev,1
,,math_2008_08:floor,math_2013_03:floor
math_2007_05:gt,math_2007_08:gt,math_2008_08:gt,(data_2013_03:gt)
,math_2007_08:log,math_2008_08:log,math_2013_03:log
,math_2007_08:log10,math_2008_08:log10,math_2013_03:log10
math_2007_05:lt,math_2007_08:lt,math_2008_08:lt,(data_2013_03:lt)
math_2007_05:mod,math_2007_08:mod,math_2008_08:mod,math_2013_03:mod
math_2007_05:mul,math_2007_08:mul,math_2008_08:mul,math_2013_03:mul
math_2007_05:neg,math_2007_08:neg,math_2008_08:neg,math_2013_03:neg
math_2007_05:pow,math_2007_08:pow,math_2008_08:pow,math_2013_03:pow
,math_2007_08:random,math_2008_08:random,(system_2013_03:random)
math_2007_05:sign,(math_2007_08:signum),math_2008_08:sign,math_2013_03:sign
(math_2007_05:sign),math_2007_08:signum,(math_2008_08:signum),(math_2013_03:signum)
,math_2007_08:sin,math_2008_08:sin,math_2013_03:sin
,math_2007_08:sinh,math_2008_08:sinh,math_2013_03:sinh
,math_2007_08:sqrt,math_2008_08:sqrt,math_2013_03:sqrt
math_2007_05:sub,math_2007_08:sub,math_2008_08:sub,math_2013_03:sub
,math_2007_08:tan,math_2008_08:tan,math_2013_03:tan
,math_2007_08:tanh,math_2008_08:tanh,math_2013_03:tanh
,media_2007_08:play,media_2008_08:play,media_2013_03:play
,media_2007_08:show,media_2008_08:show,media_2013_03:show
,media_2007_08:speak,media_2008_08:speak,media_2013_03:speak
(etc_2007_05:pingTheSemanticWeb),services_2007_08:pingTheSemanticWeb,services_2008_08:pingTheSemanticWeb,
,services_2007_08:sindice,,
(etc_2007_05:swoogleIt),services_2007_08:swoogleIt,services_2008_08:swoogleIt,
,services_2007_08:uriqr,services_2008_08:uriqr,
stack_2007_05:and,stack_2007_08:and,(logic_2008_08:and),(logic_2013_03:and)
(stack_2007_05:I),(stack_2007_08:I),stack_2008_08:apply,(control_2013_03:apply)
stack_2007_05:ary,stack_2007_08:ary,stack_2008_08:ary,(control_2013_03:ary)
stack_2007_05:at,stack_2007_08:at,stack_2008_08:at,stack_2013_03:at
stack_2007_05:branch,stack_2007_08:branch,(logic_2008_08:branch),(logic_2013_03:branch)
stack_2007_05:cat,stack_2007_08:cat,stack_2008_08:cat,stack_2013_03:cat
stack_2007_05:choice,stack_2007_08:choice,(logic_2008_08:choice),(logic_2013_03:choice)
stack_2007_05:cons,stack_2007_08:cons,stack_2008_08:cons,stack_2013_03:cons
stack_2007_05:dip,stack_2007_08:dip,stack_2008_08:dip,(control_2013_03:dip)
stack_2007_05:dipd,stack_2007_08:dipd,stack_2008_08:dipd,(control_2013_03:dipd)
,,stack_2008_08:drop,stack_2013_03:drop
stack_2007_05:dup,stack_2007_08:dup,stack_2008_08:dup,stack_2013_03:dup
stack_2007_05:dupd,stack_2007_08:dupd,stack_2008_08:dupd,stack_2013_03:dupd
,stack_2007_08:dupdd,stack_2008_08:dupdd,
,,stack_2008_08:empty,stack_2013_03:empty
stack_2007_05:false,stack_2007_08:false,,
stack_2007_05:fold,stack_2007_08:fold,stack_2008_08:fold,(control_2013_03:fold)
stack_2007_05:has,stack_2007_08:has,stack_2008_08:has,stack_2013_03:has
stack_2007_05:I,stack_2007_08:I,(stack_2008_08:apply),(stack_2013_03:apply)
stack_2007_05:id,stack_2007_08:id,stack_2008_08:id,(stack_2013_03:self)
stack_2007_05:ifte,stack_2007_08:ifte,(logic_2008_08:ifte),(logic_2013_03:ifte)
stack_2007_05:in,stack_2007_08:in,stack_2008_08:in,stack_2013_03:in
,,stack_2008_08:map,(control_2013_03:map)
,stack_2007_08:max,stack_2008_08:max,stack_2013_03:max
,stack_2007_08:min,stack_2008_08:min,stack_2013_03:min
stack_2007_05:not,stack_2007_08:not,(logic_2008_08:not),(logic_2013_03:not)
stack_2007_05:of,stack_2007_08:of,stack_2008_08:of,stack_2013_03:of
,,stack_2008_08:optApply,
stack_2007_05:or,stack_2007_08:or,(logic_2008_08:or),(logic_2013_03:or)
,,stack_2008_08:plusApply,
stack_2007_05:pop,stack_2007_08:pop,stack_2008_08:pop,stack_2013_03:pop
stack_2007_05:popd,stack_2007_08:popd,stack_2008_08:popd,stack_2013_03:popd
,stack_2007_08:popdd,stack_2008_08:popdd,
,,stack_2008_08:rangeApply,
stack_2007_05:rolldown,stack_2007_08:rolldown,stack_2008_08:rolldown,stack_2013_03:rolldown
stack_2007_05:rolldownd,stack_2007_08:rolldownd,stack_2008_08:rolldownd,stack_2013_03:rolldownd
stack_2007_05:rollup,stack_2007_08:rollup,stack_2008_08:rollup,stack_2013_03:rollup
stack_2007_05:rollupd,stack_2007_08:rollupd,stack_2008_08:rollupd,stack_2013_03:rollupd
stack_2007_05:rotate,stack_2007_08:rotate,stack_2008_08:rotate,stack_2013_03:rotate
stack_2007_05:rotated,stack_2007_08:rotated,stack_2008_08:rotated,stack_2013_03:rotated
(stack_2007_05:id),(stack_2007_08:id),(stack_2008_08:id),stack_2013_03:self
stack_2007_05:size,stack_2007_08:size,stack_2008_08:size,stack_2013_03:size
,,stack_2008_08:starApply,
stack_2007_05:stack,stack_2007_08:stack,,
stack_2007_05:swap,stack_2007_08:swap,stack_2008_08:swap,stack_2013_03:swap
stack_2007_05:swapd,stack_2007_08:swapd,stack_2008_08:swapd,stack_2013_03:swapd
,stack_2007_08:swapdd,stack_2008_08:swapdd,
stack_2007_05:swons,stack_2007_08:swons,stack_2008_08:swons,stack_2013_03:swons
,,stack_2008_08:take,stack_2013_03:take
stack_2007_05:times,stack_2007_08:times,(stack_2008_08:timesApply),
(stack_2007_05:times),(stack_2007_08:times),stack_2008_08:timesApply,
,,,stack_2013_03:top
stack_2007_05:true,stack_2007_08:true,,
stack_2007_05:uncons,stack_2007_08:uncons,stack_2008_08:uncons,stack_2013_03:uncons
stack_2007_05:unstack,stack_2007_08:unstack,,
stack_2007_05:unswons,stack_2007_08:unswons,stack_2008_08:unswons,stack_2013_03:unswons
stack_2007_05:x,stack_2007_08:x,,
stack_2007_05:xor,stack_2007_08:xor,(logic_2008_08:xor),(logic_2013_03:xor)
,,,stream_2013_03:amp
,(stream_2007_08:union),stream_2008_08:both,stream_2013_03:both
,,stream_2008_08:count,
,,,stream_2013_03:count
(stream_2007_05:unique),(stream_2007_08:unique),stream_2008_08:distinct,stream_2013_03:distinct
stream_2007_05:each,stream_2007_08:each,stream_2008_08:each,stream_2013_03:each
,,stream_2008_08:intersect,stream_2013_03:intersect
stream_2007_05:limit,stream_2007_08:limit,stream_2008_08:limit,stream_2013_03:limit
,,,stream_2013_03:order
,,,stream_2013_03:rank
,,stream_2008_08:require,(control_2013_03:require)
stream_2007_05:scrap,stream_2007_08:scrap,stream_2008_08:scrap,stream_2013_03:scrap
stream_2007_05:union,stream_2007_08:union,(stream_2008_08:both),(stream_2013_03:both)
stream_2007_05:unique,stream_2007_08:unique,(stream_2008_08:distinct),(stream_2013_03:distinct)
(etc_2007_05:strCat),(string_2007_08:strCat),string_2008_08:concat,string_2013_03:concat
,,string_2008_08:contains,string_2013_03:contains
,string_2007_08:endsWith,string_2008_08:endsWith,string_2013_03:ends-with
,string_2007_08:indexOf,string_2008_08:indexOf,string_2013_03:index-of
,string_2007_08:lastIndexOf,string_2008_08:lastIndexOf,string_2013_03:last-index-of
,string_2007_08:length,string_2008_08:length,string_2013_03:length
,string_2007_08:matches,string_2008_08:matches,string_2013_03:matches
,,string_2008_08:md5,string_2013_03:md5
,,string_2008_08:percentDecode,string_2013_03:percent-decoded
(etc_2007_05:urlEncoding),string_2007_08:percentEncode,string_2008_08:percentEncode,string_2013_03:percent-encoded
,string_2007_08:replaceAll,string_2008_08:replaceAll,string_2013_03:replace-all
(etc_2007_05:sha1),string_2007_08:sha1,string_2008_08:sha1,string_2013_03:sha1
,string_2007_08:split,string_2008_08:split,string_2013_03:split
,string_2007_08:startsWith,string_2008_08:startsWith,string_2013_03:starts-with
